0,1,2
lists event,ਸੂਚੀ ਘਟਨਾ,soochee ghatna
has program,ਪ੍ਰੋਗਰਾਮ ਹੈ,program hai
listener,ਸਰੋਤਾ,sarota
banquet,ਭੋਜਨ,bhojan
hardcopy of mailing manifests printed by,ਮੇਲ ਮੈਨੀਫੈਸਟਾਂ ਦਾ ਹਾਰਡਕਾਪੀ ਛਾਪਿਆ ਦੁਆਰਾ,mel mainifaisatan da hardkapi chapia duara
is location of,ਸਥਾਨ ਹੈ,sthān hai
has call,ਕਾਲ ਕਰੋ,kaal karo
conference paper,ਕਾਨਫਰੰਸ ਪੇਪਰ,conference paper
volunteer of conference,ਕਾਨਫਰੰਸ ਦਾ ਸਵੈਸੇਵਕ,conference da swaisevak
two level conference,ਦੋ-ਪੱਧਰੀ ਕਾਨਫਰੰਸ,do-paddhri conference
conference restaurant,ਕਾਨਫਰੰਸ ਰੈਸਟੋਰੈਂਟ,conference restaurant
activity taking place during conference,ਕਾਨਫਰੰਸ ਵਿੱਚ ਗਤੀਵਿਧੀ,conference douran hon vali gatividhi
is written by,ਦੁਆਰਾ ਲਿਖਿਆ ਗਿਆ,duara likhya gia
evaluated paper,ਮੁਲਾਂਕਣ ਕੀਤਾ ਪੇਪਰ,mulankhan kita paper
record of attendance,ਹਾਜ਼ਰੀ ਦਾ ਰਿਕਾਰਡ,hazri da record
published paper,ਪ੍ਰਕਾਸ਼ਿਤ ਪੇਪਰ,prakaashit paper
member of iasted,ਆਈਏਐਸਟੀਈਡੀ ਦਾ ਮੈਂਬਰ,AIStiDi da member
stay in city,ਸ਼ਹਿਰ ਵਿੱਚ ਰਹਿਣਾ,shahar vich rehna
state of the presenter,ਪੇਸ਼ਕਾਰ ਦੀ ਸਥਿਤੀ,peshekhar di sthiti
platinum sponzor of conference,ਪਲੈਟੀਨਮ ਸਪਾਂਸਰ ਦੁਆਰਾ,Platinum sponsor dwara
has last name,ਦਾ ਆਖ਼ਰੀ ਨਾਮ ਹੈ,dā ākʰrī nām hai
has reviewer,ਸਮੀਖਿਅਕ ਦੁਆਰਾ,sameekhyak dwaara
computer networks management topic,ਕੰਪਿਊਟਰ ਨੈਟਵਰਕ ਪ੍ਰਬੰਧਨ ਵਿਸ਼ਾ,kampiyutar netavarik prabandhan visha
event on list,ਸੂਚੀ ਵਿਚ ਘਟਨਾ,soochee vich ghatna
expert on topic,ਵਿਸ਼ੇ ਦਾ ਮਾਹਰ,Vishay da Maahir
conference acm sigkdd,ਕਾਨਫਰੰਸ ਏਸੀਐਮ ਸਿਗਕੇਡੀਡੀ,conference ACM SigKDD
cad topic,ਸੀਡੀ ਟਾਪਿਕ,CD topic
is occupied by,ਦੁਆਰਾ ਭਰਿਆ ਹੋਇਆ,duara bharria hoia
committee for best paper awards,ਸਰਵੋਤਮ ਪੇਪਰ ਪੁਰਸਕਾਰ ਲਈ ਕਮੇਟੀ,sarvotam paper pursakar lai komiti
active paper,ਸਰਗਰਮ ਪੇਪਰ,sargarm paper
speaker who presents a tutorial,ਟਿਊਟੋਰੀਅਲ ਪੇਸ਼ਕਾਰ,ਟਿਊਟੋਰੀਅਲ ਪੇਸ਼ਕਾਰ → Tutorial Peskhar
assistant,ਸਹਾਇਕ,sahayak
award for best student paper,ਸਰਵੋਤਮ ਵਿਦਿਆਰਥੀ ਪੇਪਰ ਪੁਰਸਕਾਰ,sarvotam vidyarthi paper pursakar
steering committee,ਨਿਰਦੇਸ਼ਕ ਕਮੇਟੀ,nirdeshak committee
acceptance,ਸਵੀਕ੍ਰਿਤੀ,sweekriti
is workshop chair of,ਵਰਕਸ਼ਾਪ ਚੇਅਰ ਹੈ ਦਾ,workshop chair hai da
follows,ਅਨੁਸਰਣ ਕਰਦਾ ਹੈ,anusrn karda hai
initiates,ਸ਼ੁਰੂ ਕਰਦਾ ਹੈ,shuru karda hai
hotel room,ਹੋਟਲ ਕਮਰਾ,hotel kamra
technically organised by,ਤਕਨੀਕੀ ਤੌਰ 'ਤੇ ਆਯੋਜਿਤ ਕੀਤਾ ਗਿਆ,tanikee taur 'te aayojit keeta gia
student participant of conference,ਕਾਨਫਰੰਸ ਦਾ ਵਿਦਿਆਰਥੀ ਭਾਗੀਦਾਰ,konfrans da vidyaarthi bhaageedaar
free time,ਖਾਲੀ ਸਮਾਂ,khali saman
member of tpc,ਟੀਪੀਸੀ ਦਾ ਮੈਂਬਰ,TPSI da member
late-registered participant,ਦੇਰ ਨਾਲ ਰਜਿਸਟਰਡ,der naal registered
sponzorship,ਸਪਾਂਸਰਸ਼ਿਪ,sponsaraship
preference of reviewer,ਸਮੀਖਿਆਕਾਰ ਦੀ ਤਰਜੀਹ,Sameekhiakar di tarjeeh
has street,ਸਟਰੀਟ ਹੈ,Street hai
part of conference,ਕਾਨਫਰੰਸ ਦਾ ਹਿੱਸਾ,konfrans da hissa
volume contains paper,ਖੰਡ ਵਿੱਚ ਪੇਪਰ ਸ਼ਾਮਲ ਹੈ,khand vich paper shamil hai
has conflict of interest with respect to,ਹਿੱਤ ਦੇ ਟਕਰਾਅ ਵਿੱਚ ਹੈ,hitt de takraa vich hai
event of sending camera-ready version,ਕੈਮਰਾ-ਤਿਆਰ ਸੰਸਕਰਣ ਭੇਜਣਾ,kamera-tiar sanskaran bhejna da samaagam
car,ਕਾਰ,car
is held after,ਬਾਅਦ ਵਿੱਚ ਆਯੋਜਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ,baad vich aayojit kita janda hai
url of conference web is,ਕਾਨਫਰੰਸ ਵੈੱਬ ਦਾ ਯੂਆਰਐਲ ਹੈ,konfrans web da yural hai
personal publication history,ਨਿੱਜੀ ਪ੍ਰਕਾਸ਼ਨ ਇਤਿਹਾਸ,nijji prakaashan itihaas
pays,ਭੁਗਤਾਨ,bhugtaan
chair of conference,ਕਾਨਫਰੰਸ ਦਾ ਚੇਅਰ,conference da chair
publisher,ਪ੍ਰਕਾਸ਼ਕ,prakāshak
administrator,ਪ੍ਰਬੰਧਕ,prabandhak
place,ਸਥਾਨ,sthān
organizer,ਆਯੋਜਕ,aayojak
proceedings of conference,ਕਾਨਫਰੰਸ ਦੇ ਕਾਰਜਾਂ ਦਾ,conference de kaarjaan da
company,ਕੰਪਨੀ,kampani
contribution,ਯੋਗਦਾਨ,yogdan
registration fee for person not being member of sig,ਮੈਂਬਰ ਨਾ ਹੋਣ ਵਾਲੇ ਵਿਅਕਤੀ ਲਈ ਰਜਿਸਟਰੇਸ਼ਨ ਫੀਸ,Membr na hone wale vyakti lai registration fees
study at university,ਯੂਨੀਵਰਸਿਟੀ ਵਿਚ ਪੜ੍ਹਾਈ ਕਰਨਾ,yunivarsiti vich parhaee karna
referenced in,ਹਵਾਲਾ ਦਿੱਤਾ ਗਿਆ,havaala ditta gia
details entered by,ਵੇਰਵੇ ਦਾਖਲ ਕਰਨ ਵਾਲਾ,verve daakhil karna wala
conference session,ਕਾਨਫਰੰਸ ਸੈਸ਼ਨ,conference session
attendee,ਭਾਗ ਲੈਣ ਵਾਲਾ,Bhaag Lain Waala
is locally situated in,ਸਥਾਨਕ ਤੌਰ 'ਤੇ ਸਥਿਤ ਹੈ,sthānakaṁ taur 'te sthit hai
has logo at url,ਲੋਗੋ ਯੂਆਰਐਲ 'ਤੇ ਹੈ,logo URL 'te hai
organised by,ਦੁਆਰਾ ਆਯੋਜਿਤ,duara aayojit
student lecturer,ਵਿਦਿਆਰਥੀ ਲੈਕਚਰਾਰ,Vidyaarthi Lekchraar
abstract,ਅਮੂਰਤ,akhbar
add,ਜੋੜਨਾ,jodna
is about paper,ਖ਼ਬਰ ਦਸਤਾਵੇਜ਼ ਬਾਰੇ ਹੈ,khabar dastavez bare hai
registration fee,ਰਜਿਸਟਰੇਸ਼ਨ ਫੀ ਦਾ,registration fee da
signs,ਚਿੰਨ੍ਹ,chinh
has award,ਪੁਰਸਕਾਰ ਹੈ,puraskaar hai
sponzor,ਸਪਾਂਸਰ,sponsor
gives,ਦਿੰਦਾ ਹੈ,dinda hai
single level conference,ਇਕ ਪੱਧਰੀ ਕਾਨਫਰੰਸ,ik padhri conference
worker lecturer,ਕਾਰਕੁਨ ਲੈਕਚਰਾਰ,karkun lecturer
is topic of conference part,ਕਾਨਫਰੰਸ ਦਾ ਵਿਸ਼ਾ ਹੈ,konfrans da visa hai
pc member,ਪੀਸੀ ਮੈਂਬਰ,PC member
web of conference,ਕਾਨਫਰੰਸ ਦਾ ਜਾਲ,conference da jaal
is signed by,ਦੁਆਰਾ ਦਸਤਖ਼ਤ ਕੀਤਾ,dwaara dastakhat kiteya
activity of receiving a manuscript,ਮੈਨੂਸਕ੍ਰਿਪਟ ਪ੍ਰਾਪਤ ਕਰਨਾ,manuscript praapt karna
degree of review preference,ਸਮੀਖਿਆ ਦੀ ਪਸੰਦਗੀ ਦੀ ਡਿਗਰੀ,sameekhya dee pasandgee dee degree
has important date,ਮਹੱਤਵਪੂਰਨ ਮਿਤੀ ਹੈ,mahatvapoorn mitee hai
weak-reject rating,ਕਮਜ਼ੋਰ-ਰੱਦ ਦਰਜਾ,kamzor-radd darja
time zone,ਸਮਾ ਜ਼ੋਨ,samaj zon
scientifically organises,ਵਿਗਿਆਨਕ ਤੌਰ 'ਤੇ ਆਯੋਜਿਤ ਕਰਦਾ ਹੈ → ਵਿਗਿਆਨਕ ਆਯੋਜਨ,vigyaanik taur 'te aayojit karda hai → vigyaanik aayojan
event,ਸਮਾਗਮ,samagam
reviewer bidding started by,ਸਮੀਖਿਅਕ ਬੋਲੀ ਸ਼ੁਰੂ ਕੀਤੀ ਦੁਆਰਾ,sameekhiak boli shuru keeti duaara
talk,ਭਾਸ਼ਣ,bhaashan
form,ਫਾਰਮ,farm
registration fee for a member,ਮੈਂਬਰ ਲਈ ਰਜਿਸਟਰੇਸ਼ਨ ਫੀਸ,mainbar lai rajistreshan fees
personal reviewing history,ਨਿੱਜੀ ਸਮੀਖਿਆ ਇਤਿਹਾਸ,Nijji Sameekhya Itihas
computer networks sensor topic,ਕੰਪਿਊਟਰ ਨੈਟਵਰਕ ਸੈਂਸਰ ਵਿਸ਼ਾ,kampiyutar netavarik sansar visa
conference contribution,ਕਾਨਫਰੰਸ ਯੋਗਦਾਨ,conference yogdaan
is equipped for,ਲੈਸ ਹੈ,lays hai
call for manuscripts,ਮੈਨੂਸਕ੍ਰਿਪਟ ਲਈ ਸੱਦਾ,manuscript lai sada
deadline,ਅੰਤਿਮ ਮਿਤੀ,antim miti
author information form,ਲੇਖਕ ਜਾਣਕਾਰੀ ਫਾਰਮ,lekhar jaankaaree form
applicant for conference,ਕਾਨਫਰੰਸ ਦਾ ਅਰਜ਼ੀਦਾਰ,conference da arzidaar
user,ਉਪਭੋਗਤਾ,upabhogata
invited talk abstract,ਸੱਦਾ ਭਾਸ਼ਣ ਅਮੂਲਯ ਅਖ਼ਬਾਰ,sadda bhaashan amoolya akhbar
lecture given by a speaker,ਭਾਸ਼ਣ ਦਿੱਤਾ ਗਿਆ,bhaashan ditaa gia
session,ਸੈਸ਼ਨ,session
has review,ਸਮੀਖਿਆ ਕਰਦਾ ਹੈ,sameekhya karda hai
research institute,ਖੋਜ ਸੰਸਥਾਨ,khoj sansthaan
main office of conference,ਮੁੱਖ ਦਫ਼ਤਰ ਦਾ,mukh daftar da
positive review,ਸਕਾਰਾਤਮਕ ਸਮੀਖਿਆ,sakaraatmak sameekhia
is present in time,ਸਮੇਂ ਵਿੱਚ ਮੌਜੂਦ,saméṁ vich maujūd
city which is the location for a trip,ਯਾਤਰਾ ਦਾ ਸਥਾਨ ਸ਼ਹਿਰ,yatra da sthan shahar
"occupies (lives, resides)",ਨਿਵਾਸ,nivaas
has review expertise,ਸਮੀਖਿਆ ਮਾਹਰਤਾ ਹੈ,sameekhya maaharta hai
withdrawn paper,ਵਾਪਸ ਲਿਆ ਗਿਆ ਪੇਪਰ,waapas lia gya paper
web site,ਵੈੱਬਸਾਈਟ,websaite
held in,ਵਿਚ ਆਯੋਜਿਤ,vich aayojit
stay in,ਵਿਚ ਰਹੋ,vich raho
publishes,ਪ੍ਰਕਾਸ਼ਨ,prakshan
information for participants,ਭਾਗੀਦਾਰਾਂ ਲਈ ਜਾਣਕਾਰੀ,Bhagidaran Lai Jaankari
activity of refusing a manuscript,ਅਸਵੀਕਾਰ ਕਰਨਾ,asveekar karna
sponsorship,ਸਪਾਂਸਰਸ਼ਿਪ,sponsaraship
abstract of paper,ਖ਼ੁਲਾਸਾ ਦਾ,khulasa da
tutorial abstract,ਟਿਊਟੋਰੀਅਲ ਅਮੂਲਯਤਾ,ਟਿਊਟੋਰੀਅਲ ਅਮੂਲਯਤਾ → Tutorial Amooliyata
student who is not a speaker,ਵਿਦਿਆਰਥੀ ਗੈਰ-ਸਪੀਕਰ,Vidyaarthee Gair-Speiker
active participant of conference,ਸਰਗਰਮ ਭਾਗੀਦਾਰ ਦੁਆਰਾ,saragaram bhaagidaar dwaara
rated paper,ਰੇਟ ਕੀਤਾ ਪੇਪਰ,ret kita paper
track,ਟਰੈਕ,track
deadline for notification of acceptance,ਸਵੀਕ੍ਰਿਤੀ ਦੀ ਸੂਚਨਾ ਦੀ ਮਿਆਦ,Sweekriti di suchna di miyaad
organizing committee of conference is,ਕਾਨਫਰੰਸ ਦੀ ਆਯੋਜਨ ਕਮੇਟੀ,konfrans da aayojan karna wala smuh
has valued added tax,ਮੁੱਲ ਵਾਧੂ ਟੈਕਸ ਵਾਲਾ ਹੈ,Mul Vaadhu Tax Vaala Hai
currency,ਮੁਦਰਾ,mudra
tutorial chair,ਟਿਊਟੋਰੀਅਲ ਚੇਅਰ,Tutorial Chair
workshop,ਵਰਕਸ਼ਾਪ,workshop
member of program committee,ਪ੍ਰੋਗਰਾਮ ਕਮੇਟੀ ਦਾ ਮੈਂਬਰ,program committee da member
conference banquet,ਕਾਨਫਰੰਸ ਭੋਜਨ,conference bhojan
is visited by,ਦੁਆਰਾ ਦੇਖਿਆ ਜਾਂਦਾ ਹੈ,duaara dekhiya janda hai
topic,ਵਿਸ਼ਾ,visha
conference days,ਕਾਨਫਰੰਸ ਦਿਨ,conference din
single hotel room,ਇਕ ਹੋਟਲ ਕਮਰਾ,ik hotel kamra
end day of event,ਸਮਾਗਮ ਦਾ ਅੰਤਿਮ ਦਿਨ,samaagam da antim din
industrial paper,ਉਦਯੋਗਿਕ ਪੇਪਰ,Udyogik Paper
has start date and time,ਸ਼ੁਰੂ ਮਿਤੀ ਅਤੇ ਸਮਾਂ ਹੈ,Shuru Miti Ate Saman Hai
final manuscript,ਅੰਤਿਮ ਖਰੜਾ,antim kharra
demo session,ਡੈਮੋ ਸੈਸ਼ਨ,demo session
test only topic,ਟੈਸਟ ਟੌਪਿਕ,Test Topic
meta-review,ਮੈਟਾ-ਸਮੀਖਿਆ,meta-sameekhya
hotel presenter,ਹੋਟਲ ਪ੍ਰੇਜ਼ੈਂਟਰ,hotel presenter
program committee of conference is,ਕਾਨਫਰੰਸ ਦਾ ਪ੍ਰੋਗਰਾਮ ਕਮੇਟੀ,conference da program committee
shuttle bus,ਸ਼ਟਲ ਬੱਸ,Shattal Bass
is used for,ਵਰਤੋਂ ਲਈ,layia vartia janda hai
camera-ready version of contribution,ਕੈਮਰਾ-ਤਿਆਰ ਸੰਸਕਰਣ ਦਾ ਯੋਗਦਾਨ,kamera-tiar sanskaran da yogdan
speaker,ਸਪੀਕਰ,speaker
card,ਕਾਰਡ,card
sc member,ਐਸਸੀ ਮੈਂਬਰ,ESSEE member
academic event,ਅਕਾਦਮਿਕ ਸਮਾਗਮ,akademic samaagam
conference airport,ਕਾਨਫਰੰਸ ਹਵਾਈ ਅੱਡਾ,conference hawai adda
track of conference,ਕਾਨਫਰੰਸ ਦਾ ਟਰੈਕ,conference da track
print hardcopy mailing manifests,ਹਾਰਡਕਾਪੀ ਮੇਲਿੰਗ ਮੈਨੀਫੈਸਟ ਛਾਪੋ,Haardkapi Meling Mainifast Chhaapo
chair,ਕੁਰਸੀ,pradhan
demo chair,ਡੈਮੋ ਚੇਅਰ,Demo Chair
pc chair,ਪੀਸੀ ਚੇਅਰ,pīsī cēʾr
video presentation,ਵੀਡੀਓ ਪੇਸ਼ਕਾਰੀ,video peshekari
has attendee,ਹਾਜ਼ਰੀਨਾਂ ਵਾਲਾ,Hazareenaa Vaalaa
van,ਵੈਨ,vain
call for reviews,ਸਮੀਖਿਆ ਲਈ ਸੱਦਾ,sameekhya lai sada
obtained award,ਪੁਰਸਕਾਰ ਪ੍ਰਾਪਤ ਕੀਤਾ,puraskaar praapt kiita
programme brochure,ਪ੍ਰੋਗਰਾਮ ਬ੍ਰੋਸ਼ਰ,program brochure
preference or expertise of review is,ਸਮੀਖਿਆ ਦੀ ਤਰਜੀਹ ਜਾਂ ਮਾਹਰਤਾ,sameekhia di tarjeeh jaan maharta
payment document,ਭੁਗਤਾਨ ਦਸਤਾਵੇਜ਼,bhugtaan dastavez
city where a sponzor comes from,ਸਰਪ੍ਰਸਤ ਦਾ ਸ਼ਹਿਰ,sarprast da shahar
has submission instructions,ਸਬਮਿਸ਼ਨ ਨਿਰਦੇਸ਼ਾਂ ਵਾਲਾ ਹੈ,submission nirdeshan wala hai
welcome speech,ਸਵਾਗਤ ਭਾਸ਼ਣ,Swaagat Bhaashan
publisher of,ਪ੍ਰਕਾਸ਼ਕ ਦੁਆਰਾ,prakasak dwara
is provider of,ਦਾ ਪ੍ਰਦਾਤਾ ਹੈ,da pradata hai
has tutorial,ਟਿਊਟੋਰੀਅਲ ਹੈ,ਟਿਊਟੋਰੀਅਲ ਹੈ → tutorial hai
not member of iasted,ਆਈਏਐਸਟੀਈਡੀ ਦਾ ਮੈਂਬਰ ਨਹੀਂ,AIESTDI da member nahi
chair of workshop track,ਵਰਕਸ਼ਾਪ ਟਰੈਕ ਦਾ ਚੇਅਰ,Workshop track da chair
submitted to,ਜਮ੍ਹਾਂ ਕਰਨ ਲਈ,jamhaan karan lai
sends,ਭੇਜਦਾ ਹੈ,bhijda hai
accommodation,ਰਿਹਾਇਸ਼ ਦਾ,rihaish da
goes through,ਸੇਧਿਤ ਹੁੰਦਾ ਹੈ,saydhith huNdha hai
event of reviewing,ਸਮੀਖਿਆ ਦਾ ਘਟਨਾ,sameekhya da ghatna
subject area,ਵਿਸ਼ਾ ਖੇਤਰ,visha khetar
security topic,ਸੁਰੱਖਿਆ ਵਿਸ਼ਾ,surakhiya visa
sponzor as exhibitor,ਸਪਾਂਸਰ ਪ੍ਰਦਰਸ਼ਨਕਾਰ,sponsar prdarshankar
first author of contribution,ਯੋਗਦਾਨ ਦਾ ਪਹਿਲਾ ਲੇਖਕ,yogdaan da pehla lekhak
is co-chair of committee,ਕਮੇਟੀ ਦਾ ਸਹਿ-ਪ੍ਰਧਾਨ ਹੈ,kameti da saH-pradhan hai
negative review,ਨਕਾਰਾਤਮਕ ਸਮੀਖਿਆ,nakaaraatmak sameekhya
any kind of document,ਕਿਸੇ ਵੀ ਕਿਸਮ ਦਾ ਦਸਤਾਵੇਜ਼,dastavez
relates to,ਨਾਲ ਸਬੰਧਤ ਹੈ,sambandit hai
maximal number of assigned papers,ਨਿਰਧਾਰਤ ਪੇਪਰਾਂ ਦੀ ਵੱਧ ਤੋਂ ਵੱਧ ਗਿਣਤੀ,asain kite paperan di vadhh toN vadhh ginnti
enter details on,'ਤੇ ਵੇਰਵੇ ਦਰਜ ਕਰੋ,Vigyaanik Vivran Dakhil Karo
date of camera-ready submission,ਕੈਮਰਾ-ਤਿਆਰ ਜਮ੍ਹਾਂ ਕਰਨ ਦੀ ਮਿਤੀ,kamera-tiar sabmishan di miti
